,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
,1,Langston Galloway\gallola01,28,66,1702,12.3,0.584,0.611,0.157,2.2,7.8,5,8.8,1.4,0.5,6.5,15.9,,2.4,0.7,3.1,0.087,,0.1,-0.9,-0.8,0.5
,2,Andre Drummond\drumman01,26,49,1654,22.1,0.55,0.031,0.376,15.3,38.2,26.6,14,2.9,4.2,18,25.5,,0.7,3.3,4,0.116,,0,1.2,1.1,1.3
,3,Tony Snell\snellto01,28,59,1641,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1,0.8,7.3,11.4,,2.1,0.5,2.6,0.076,,-1.1,-0.6,-1.8,0.1
,4,Bruce Brown\brownbr01,23,58,1634,11.9,0.518,0.215,0.266,4.2,15,9.5,20.4,1.9,1.5,16.7,16,,0.8,1.4,2.1,0.062,,-2,0.8,-1.2,0.3
,5,Christian Wood\woodch01,24,62,1325,23.2,0.659,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12,23,,3.6,1.5,5.1,0.184,,3.5,-0.3,3.1,1.7
,6,Derrick Rose\rosede01,31,50,1298,21.1,0.555,0.195,0.185,2.3,8.3,5.3,40.5,1.5,1,13.4,31.6,,1.9,0.6,2.5,0.093,,4,-1.7,2.2,1.4
,7,Sviatoslav Mykhailiuk\mykhasv01,22,56,1265,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,,1,0.6,1.6,0.06,,-0.7,-1.2,-1.8,0
,8,Markieff Morris\morrima02,30,44,988,12.7,0.573,0.486,0.203,2.7,17.3,9.9,11,1.3,0.9,14.2,21.8,,0.3,0.7,1,0.049,,-1,-1,-2.1,0
,9,Luke Kennard\kennalu01,23,28,922,14.4,0.589,0.535,0.219,1.1,11.1,6,19.2,0.6,0.5,10.3,19.8,,1.6,0.3,1.9,0.1,,1.1,-1.4,-0.3,0.4
,10,Thon Maker\makerth01,22,60,776,13.7,0.582,0.332,0.57,7.8,16.7,12.2,8,1.6,4.2,15.7,16.1,,0.7,0.8,1.5,0.096,,-2,0.7,-1.4,0.1
,11,Sekou Doumbouya\doumbse01,19,38,754,6.2,0.474,0.415,0.195,3,14.9,8.9,3.6,1.3,0.9,12,16.9,,-0.8,0.5,-0.3,-0.02,,-5.2,-1.5,-6.7,-0.9
,12,Blake Griffin\griffbl01,30,18,512,11.9,0.476,0.444,0.392,3.7,15,9.3,18,0.7,1.1,12,28.4,,-0.4,0.2,-0.1,-0.012,,-1.7,-2.6,-4.2,-0.3
,13,Reggie Jackson\jacksre01,29,14,381,14.8,0.492,0.414,0.167,3.2,9.1,6.1,30.8,1,0.2,9.8,27,,0.3,0.1,0.4,0.047,,1.7,-2.2,-0.5,0.1
,14,Tim Frazier\fraziti01,29,27,355,9.8,0.464,0.319,0.255,2.8,7.8,5.3,36.5,1.9,0.9,25.6,17.3,,-0.1,0.2,0.1,0.016,,-2.9,-1.6,-4.5,-0.2
,15,Brandon Knight\knighbr03,28,9,221,11.9,0.576,0.827,0.259,0.5,10.4,5.4,25.6,1.1,0.4,19.6,22.2,,0.1,0.1,0.2,0.046,,0.5,-2.5,-2,0
,16,John Henson\hensojo01,29,11,188,17.1,0.67,0.098,0.255,8.3,20.8,14.5,9.3,2.1,4.5,20.9,16.7,,0.2,0.2,0.4,0.11,,-1.1,1.7,0.6,0.1
,17,Jordan McRae\mcraejo01,28,4,98,6.5,0.446,0.372,0.512,0,17.6,8.7,10.7,0,0,8.7,25.7,,-0.1,0,-0.1,-0.053,,-5.6,-4.2,-9.8,-0.2
,18,Louis King\kinglo02,20,10,62,6.3,0.448,0.524,0.143,1.8,16.7,9.2,11.8,1.6,0,8.2,17.1,,-0.1,0,0,-0.007,,-5.1,-1.1,-6.2,-0.1
,19,Khyri Thomas\thomakh01,23,8,61,3.2,0.453,0.824,0.235,1.8,0,0.9,6.7,2.4,0,13.8,15.6,,-0.1,0,0,-0.038,,-6.1,-1.8,-7.9,-0.1
,20,Jordan Bone\bonejo01,22,10,53,0.8,0.3,0.5,0,0,8.7,4.3,21,0.9,0,9.1,18.1,,-0.1,0,-0.1,-0.118,,-9,-2.9,-11.9,-0.1
,21,Donta Hall\halldo01,22,4,48,7.3,0.452,0,1.5,14,21.6,17.7,5.3,1,1.7,23.1,7.9,,0,0,0.1,0.067,,-5.6,-1.4,-7.1,-0.1
,22,Derrick Walton\waltode01,24,3,26,11.3,0.5,1,0,0,4.4,2.2,24.8,5.7,0,25,6.7,,0,0,0.1,0.104,,-2.8,4.6,1.8,0