,,,,,,
,1,Team,2019-20,Wins,,
,30,Atlanta Hawks,$114377720.00,20,,
,24,Boston Celtics,$121225607.00,43,,
,17,Brooklyn Nets,$127379136.00,30,,
,19,Charlotte Hornets,$124399147.00,23,,
,29,Chicago Bulls,$114665634.00,22,,
,13,Cleveland Cavaliers,$130325319.00,19,,
,23,Dallas Mavericks,$121867856.00,40,,
,10,Denver Nuggets,$130763093.00,43,,
,12,Detroit Pistons,$130445720.00,20,,
,9,Golden State Warriors,$131527930.00,15,,
,15,Houston Rockets,$129372022.00,40,,
,28,Indiana Pacers,$114708526.00,39,,
,6,Los Angeles Clippers,$133474030.00,44,,
,18,Los Angeles Lakers,$125109724.00,49,,
,16,Memphis Grizzlies,$128593098.00,32,,
,4,Miami Heat,$134341791.00,41,,
,3,Milwaukee Bucks,$135025925.00,53,,
,8,Minnesota Timberwolves,$132512645.00,19,,
,27,New Orleans Pelicans,$117325921.00,28,,
,31,New York Knicks,$109714940.00,21,,
,5,Oklahoma City Thunder,$133664718.00,40,,
,7,Orlando Magic,$133220515.00,30,,
,14,Philadelphia 76ers,$130273147.00,39,,
,25,Phoenix Suns,$120896498.00,26,,
,2,Portland Trail Blazers,$138765934.00,29,,
,26,Sacramento Kings,$117390118.00,28,,
,20,San Antonio Spurs,$123174560.00,27,,
,21,Toronto Raptors,$123108207.00,46,,
,22,Utah Jazz,$121899425.00,41,,
,11,Washington Wizards,$130655276.00,24,,
,In [ ]:,,,,,
,"
",,,,,
,"
",,,,,