,,,,,,,,,,,,,,,,,,,,,,,
,,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
,Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
,1,Milwaukee Bucks,53-12,28-3,25-9,34-5,19-7,9-2,13-1,12-2,7-3,7-2,5-2,46-8,7-4,3-1,36-7,2-2,15-1,13-2,11-2,10-1,2-4
,2,Los Angeles Lakers,49-14,23-8,26-6,16-7,33-7,5-4,4-2,7-1,10-2,9-2,14-3,41-12,8-2,5-3,25-7,3-1,14-1,9-5,10-4,9-2,4-1
,3,Toronto Raptors,46-18,23-9,23-9,30-10,16-8,8-4,12-3,10-3,6-3,6-2,4-3,40-15,6-3,6-4,21-9,4-1,10-3,9-7,12-3,7-3,4-1
,4,Los Angeles Clippers,44-20,25-7,19-13,17-6,27-14,5-2,4-3,8-1,8-5,8-4,11-5,37-18,7-2,8-1,29-8,4-2,10-4,10-5,9-4,7-4,4-1
,5,Boston Celtics,43-21,23-9,20-12,27-10,16-11,7-6,9-3,11-1,5-3,6-4,5-4,38-16,5-5,5-5,26-7,3-1,10-4,10-3,9-7,9-3,2-3
,6,Denver Nuggets,43-22,25-8,18-14,17-9,26-13,6-3,4-4,7-2,10-1,9-5,7-7,38-17,5-5,8-4,16-10,3-2,10-2,10-6,11-5,6-4,3-3
,7,Miami Heat,41-24,27-5,14-19,28-10,13-14,8-5,10-1,10-4,3-5,4-5,6-4,35-19,6-5,6-3,21-9,4-1,9-4,11-4,8-6,6-7,3-2
,8,Utah Jazz,41-23,21-10,20-13,20-7,21-16,6-4,6-2,8-1,5-5,9-5,7-6,36-18,5-5,6-4,18-10,4-1,8-6,9-5,11-4,5-6,4-1
,9,Dallas Mavericks,40-27,19-15,21-12,15-12,25-15,4-5,6-2,5-5,8-5,7-7,10-3,33-22,7-5,2-9,23-7,3-1,9-5,9-6,8-7,7-5,4-3
,10,Houston Rockets,40-24,22-10,18-14,15-7,25-17,6-2,3-2,6-3,10-7,8-6,7-4,34-20,6-4,4-5,20-12,3-1,10-5,10-5,7-7,9-2,1-4
,11,Oklahoma City Thunder,40-24,20-13,20-11,15-9,25-15,5-3,6-4,4-2,7-4,8-6,10-5,33-22,7-2,7-6,15-8,1-4,6-7,11-4,12-5,7-3,3-1
,12,Indiana Pacers,39-26,21-11,18-15,24-18,15-8,8-7,8-7,8-4,7-3,4-1,4-4,32-23,7-3,5-7,17-10,1-3,11-4,10-5,9-5,5-7,3-2
,13,Philadelphia 76ers,39-26,29-2,10-24,26-16,13-10,11-4,10-5,5-7,5-3,5-4,3-3,34-21,5-5,5-4,18-14,4-0,10-6,9-7,8-5,6-5,2-3
,14,Memphis Grizzlies,32-33,18-15,14-18,13-11,19-22,3-2,3-6,7-3,7-5,8-10,4-7,28-26,4-7,3-3,16-19,1-3,4-10,8-8,11-4,5-6,3-2
,15,Brooklyn Nets,30-34,18-14,12-20,20-21,10-13,6-9,7-4,7-8,2-6,4-2,4-5,25-28,5-6,6-6,15-17,1-3,9-6,6-7,5-10,5-7,4-1
,16,Orlando Magic,30-35,16-15,14-20,19-18,11-17,5-6,5-7,9-5,2-8,4-5,5-4,24-31,6-4,5-4,16-17,2-2,5-9,7-8,7-8,6-6,3-2
,17,Portland Trail Blazers,29-37,18-14,11-23,13-11,16-26,2-5,4-4,7-2,4-8,7-9,5-9,25-31,4-6,6-3,16-18,3-2,5-10,6-8,8-7,4-8,3-2
,18,New Orleans Pelicans,28-36,13-19,15-17,11-11,17-25,2-6,7-3,2-2,9-8,5-9,3-8,23-32,5-4,2-5,16-13,1-4,5-9,5-10,9-6,6-4,2-3
,19,Sacramento Kings,28-36,14-17,14-19,8-16,20-20,2-7,2-5,4-4,7-9,7-5,6-6,21-33,7-3,6-8,10-15,0-5,8-5,4-12,6-8,7-4,3-2
,20,San Antonio Spurs,27-36,16-14,11-22,12-15,15-21,5-4,2-6,5-5,5-7,6-8,4-6,23-31,4-5,9-6,9-12,3-1,4-12,7-5,7-8,4-7,2-3
,21,Phoenix Suns,26-39,13-22,13-17,11-12,15-27,5-4,2-4,4-4,5-9,5-9,5-9,22-33,4-6,2-8,10-18,3-2,5-8,5-10,7-8,4-9,2-2
,22,Washington Wizards,24-40,16-16,8-24,17-23,7-17,7-5,5-9,5-9,3-6,2-6,2-5,20-33,4-7,1-4,12-20,1-3,5-8,4-11,6-9,5-6,3-3
,23,Charlotte Hornets,23-42,10-21,13-21,16-24,7-18,5-9,9-8,2-7,1-7,4-4,2-7,18-36,5-6,9-8,5-25,2-3,6-10,5-10,3-9,5-6,2-4
,24,Chicago Bulls,22-43,14-20,8-23,15-28,7-15,1-12,7-9,7-7,1-6,2-5,4-4,19-36,3-7,6-6,7-19,1-4,5-10,7-7,6-11,1-8,2-3
,25,New York Knicks,21-45,11-22,10-23,15-28,6-17,2-11,8-8,5-9,1-6,2-6,3-5,17-38,4-7,7-6,8-21,1-4,3-11,5-9,4-12,5-6,3-3
,26,Atlanta Hawks,20-47,14-20,6-27,11-32,9-15,3-13,2-12,6-7,3-5,3-5,3-5,15-41,5-6,1-5,8-29,2-3,2-13,3-11,6-9,6-7,1-4
,27,Detroit Pistons,20-46,11-22,9-24,12-31,8-15,3-11,5-10,4-10,1-7,4-3,3-5,19-38,1-8,4-6,9-26,2-3,4-10,6-9,5-11,3-8,0-5
,28,Cleveland Cavaliers,19-46,11-25,8-21,12-32,7-14,2-14,4-10,6-8,4-4,0-4,3-6,14-40,5-6,5-5,6-28,2-2,3-12,5-9,3-13,4-7,2-3
,29,Minnesota Timberwolves,19-45,8-24,11-21,10-15,9-30,2-4,3-6,5-5,2-10,4-8,3-12,16-37,3-8,3-4,10-21,3-1,7-7,2-12,3-12,2-9,2-4
,30,Golden State Warriors,15-50,8-26,7-24,6-16,9-34,1-6,3-3,2-7,3-12,2-11,4-11,12-43,3-7,1-3,8-30,1-3,3-13,5-10,1-13,3-8,2-3